cnnc_manage_no,db_table_id,table_eng_nm,table_korean_nm,table_dc,br_dc,hashtag_cn,mngr_nm,where_info_nm,ins_num_mappers,ins_split_by_col,apd_where,apd_chk_col,apd_last_val,hive_table_nm,anal_pruse_trget_at,bigdata_gtrn_at,schdul_applc_at,gthnldn_mth_code,gthnldn_mth_nm,regist_de,regist_empl_no,updt_de,updt_empl_no
"M001","EPMS_M_NOTICE_OTHER","M_NOTICE_OTHER","메신저 연동 알림","시공| 결재 결과 메신저 연동 알림","시공| 메신저","시공| 메신저 연동분류코드|송신(시스템)ID|메시지 전송 예약|알림처리여부","","","","","","","","M_NOTICE_OTHER","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_APPRLISTINFO","TCM_APPRLISTINFO","결재선저장정보","결재선저장정보","결재","결재 결재ID|조직부서명|업부무분야","","","","","","","","TCM_APPRLISTINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_APPRVLIST","TCM_APPRVLIST","결재선저장내역","결재선저장내역","결재","결재 프로젝트코드|결재선저장ID|등록자 ID","","","","","","","","TCM_APPRVLIST","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_ATWRT","TCM_ATWRT","클래스특성코드","기술도면등록 LDM 클래스 특성코드","LDM| 기술도면| 특성","LDM| 기술도면| 특성 내부특성|특성값|품목번호","","","","","","","","TCM_ATWRT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_AUFNR","TCM_AUFNR","운전기기코드","시운전관리 운전기기코드 ","시운전| 운전기기","시운전| 운전기기 wbs요소|오더번호|기기코드","","","","","","","","TCM_AUFNR","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_BUSINORG","TCM_BUSINORG","사업조직","시공 업체 사업조직도","시공| 조직도","프로젝트코드|wbs 코드|첨부파일ID|썸네일 첨부파일ID","","","","","","","","TCM_BUSINORG","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_BUSINSEC","TCM_BUSINSEC","TCM_BUSINSEC","기자재| 계약","기자재| 계약","프로젝트코드|계약구분|WBS코드|계약차수","","","","","","","","TCM_BUSINSEC","","Y","N","02","재적재","20190425","","",""
"M001","EPMS_TCM_CIRMGM","TCM_CIRMGM","CIR관리","현장별 시공 공사 사진 등록","시공| 현장| 사진","시공| 현장| 사진 프로젝트코드|사진구분|단위공사코드|사업일반사진구분","","","","","","","","TCM_CIRMGM","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_CLSMGMT","TCM_CLSMGMT","클래스분류코드","기술도면 등록 LDM 클래스 분류코드","LDM| 기술도면| 분류","LDM| 기술도면| 분류 문서유형|클래스번호|클래스유형","","","","","","","","TCM_CLSMGMT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_CONSINFORM","TCM_CONSINFORM","공사통보서","시공 공사통보서","시공| 공사통보서","시공| 공사통보서 프로젝트코드|단위공사코드|업체코드|수신","","","","","","","","TCM_CONSINFORM","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_CONTMGMT","TCM_CONTMGMT","계약변경관리","시공 계약변경관리","시공| 계약변경","시공| 계약변경 프로젝트 코드|계약구분|wbs 코드|계약차수|계약명","","","","","","","","TCM_CONTMGMT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_CONTMGMT_REV","TCM_CONTMGMT_REV","계약변경관리","시공 계약변경관리","시공| 계약변경","프로젝트 코드|계약구분|계약진행구분|계약차수","","","","","","","","TCM_CONTMGMT_REV","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_COSTMGMT","TCM_COSTMGMT","공사비 변경관리","시공 공사비 변경관리","시공| 공사비","시공| 공사비 프로젝트 코드|wbs 코드|변경차수|계약구분","","","","","","","","TCM_COSTMGMT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_COWPLST","TCM_COWPLST","공사비계획실적","시공 공사비계획실적","시공| 공사비| 계획| 실적","시공| 공사비| 계획| 실적 적용일자|프로젝트 코드|공사비구분|공사비설명","","","","","","","","TCM_COWPLST","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTEQUIP","TCM_DAILYRPTEQUIP","작업일보-장비투입현황","시공 작업일보-장비투입현황","시공| 작업일보| 장비투입","시공| 작업일보| 장비투입 프로젝트코드|작업일자|단위공사코드","","","","","","","","TCM_DAILYRPTEQUIP","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTINFO","TCM_DAILYRPTINFO","작업일보-작업사항","시공 작업일보-작업사항","시공| 작업일보| 작업사항","시공| 작업일보| 작업사항 프로젝트코드|작업일자|단위공사코드|업체코드","","","","","","","","TCM_DAILYRPTINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTINFO2","TCM_DAILYRPTINFO2","소규모프로젝트용작업일보","시공 작업일보-작업사항","시공| 작업일보| 작업사항","프로젝트코드|작업일자|업체코드|시공감독|날씨","","","","","","","","TCM_DAILYRPTINFO2","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTLAB","TCM_DAILYRPTLAB","작업일보-인원투입현황","시공 작업일보-인원투입현황","시공| 작업일보| 인원투입","시공| 작업일보| 인원투입 프로젝트코드|작업일자|단위공사코드|금일투입","","","","","","","","TCM_DAILYRPTLAB","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTRSC","TCM_DAILYRPTRSC","작업일보-사급자재설치","시공 작업일보-사급자재설치","시공| 작업일보| 사급자재","시공| 작업일보| 사급자재 프로젝트코드|자재코드|설계량","","","","","","","","TCM_DAILYRPTRSC","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTWORK","TCM_DAILYRPTWORK","작업일보_작업량","시공 작업일보_작업량","시공| 작업일보| 작업량","시공| 작업일보| 작업량 프로젝트코드|액티비티코드|금일투입|공정율","","","","","","","","TCM_DAILYRPTWORK","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAILYRPTWORK_EXP","TCM_DAILYRPTWORK_EXP","작업일보_작업량","시공 작업일보_작업량","시공| 작업일보| 작업량","프로젝트코드|단위공사코드|업체코드|액티비티코드","","","","","","","","TCM_DAILYRPTWORK_EXP","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAYSUPRPT","TCM_DAYSUPRPT","일일감리보고서","일일감리보고서","감리","감리 프로젝트코드|근무시간_시작|근무시간_종료|금일업무내용","","","","","","","","TCM_DAYSUPRPT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_DAYWORKINGTIME","TCM_DAYWORKINGTIME","일근무시간","감리 일근무시간","감리","감리 프로젝트코드|년월|정규근무|시간외근무","","","","","","","","TCM_DAYWORKINGTIME","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_EDSRSLTMT","TCM_EDSRSLTMT","EDS실적관리","설계 일정 등록 관리","설계| 일정","설계| 일정 프로젝트코드|초안작성실적|승인완료실적|공사용제출계획","","","","","","","","TCM_EDSRSLTMT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_HPBUYRSCCONTINFO","TCM_HPBUYRSCCONTINFO","사급자재계약정보","사급자재계약정보","사급자재","사급자재 프로젝트코드|구매오더번호|자재코드","","","","","","","","TCM_HPBUYRSCCONTINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_INSPTESTITEM","TCM_INSPTESTITEM","검사시험요청내역","시공품질검사관리","시공| 품질","프로젝트코드|단위공사코드|검사항목|검사예정일자","","","","","","","","TCM_INSPTESTITEM","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_INSPTESTPLAN","TCM_INSPTESTPLAN","검사시험계획(요청서)","시공품질검사관리 요청","시공| 품질","프로젝트코드|단위공사코드|품질감독|검사시험내용","","","","","","","","TCM_INSPTESTPLAN","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_LDM_ATTACH","TCM_LDM_ATTACH","첨부파일","LDM 첨부파일","LDM| 첨부파일","LDM| 첨부파일 첨부파일ID|업무코드|파일경로","","","","","","","","TCM_LDM_ATTACH","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_LDM_ATTIB","TCM_LDM_ATTIB","문서특성","LDM 문서특성","LDM| 문서특성","LDM| 문서특성 프로젝트코드|문서유형|문서번호","","","","","","","","TCM_LDM_ATTIB","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_LDM_INFO","TCM_LDM_INFO","문서정보","LDM 문서정보","LDM| 문서정보","LDM| 문서정보 프로젝트코드|문서유형|문서번호|기능지시자","","","","","","","","TCM_LDM_INFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_LDM_INFO_TEMP","TCM_LDM_INFO_TEMP","문서정보","","","프로젝트코드|문서유형|문서번호|기능지시자","","","","","","","","TCM_LDM_INFO_TEMP","","N","N","02","재적재","20190425","","",""
"M001","EPMS_TCM_LDM_LOG","TCM_LDM_LOG","LDM 저장 로그","LDM 문서정보","LDM| 문서정보","일괄저장구분|프로젝트코드|문서유형","","","","","","","","TCM_LDM_LOG","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_LICENCE","TCM_LICENCE","인허가현황","사업인허가 관리","인허가","프로젝트코드|인허가차수|설비명|인허가명","","","","","","","","TCM_LICENCE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_MONPRCRPT","TCM_MONPRCRPT","월간진도보고","감리 월간진도보고","감리| 월간진도","감리| 월간진도 프로젝트코드|진도보고내용|내용구분","","","","","","","","TCM_MONPRCRPT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_MONWORKINGTIME","TCM_MONWORKINGTIME","월근무시간","감리 월근무시간","감리| 근무","감리| 근무 프로젝트코드|유저ID|수정자 ID","","","","","","","","TCM_MONWORKINGTIME","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_OFFDOCTRN","TCM_OFFDOCTRN","EWP문서발송","공문발신등록","공문","문서번호|발송일자|수신자ID","","","","","","","","TCM_OFFDOCTRN","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_PRCMGMT","TCM_PRCMGMT","공정표관리","설계 공정표 관리","설계| 공정표","프로젝트코드|업무구분|공정표구분","","","","","","","","TCM_PRCMGMT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_RSCCD","TCM_RSCCD","자재코드","시공 자재코드","시공| 자재","시공| 자재 자재명|규격|단위","","","","","","","","TCM_RSCCD","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SITEMODDOC","TCM_SITEMODDOC","현장변경요구서","시공 현장변경요구서","시공| 현장| 변경","시공| 현장| 변경 프로젝트코드|변경문서번호|변경내용|변경사유","","","","","","","","TCM_SITEMODDOC","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SITEMODDOCFILEATT","TCM_SITEMODDOCFILEATT","현장변경문서첨부파일","시공 현장변경문서첨부파일","시공| 현장| 변경","시공| 현장| 변경 프로젝트코드|변경문서번호|첨부파일ID","","","","","","","","TCM_SITEMODDOCFILEATT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTJUDGETRADE","TCM_SUBCONTJUDGETRADE","하도급계약심사업체","시공 하도급계약심사업체","시공| 하도급| 계약","시공| 하도급| 계약 프로젝트코드|단위공사코드|업체순번|계약여부","","","","","","","","TCM_SUBCONTJUDGETRADE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTJUDGETRADE_NEW","TCM_SUBCONTJUDGETRADE_NEW","하도급계약심사업체","시공 하도급계약심사","시공| 하도급| 계약","프로젝트코드|단위공사코드|업체순번|계약여부","","","","","","","","TCM_SUBCONTJUDGETRADE_NEW","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTJUDGING","TCM_SUBCONTJUDGING","하도급계약심사","시공 하도급계약심사","시공| 하도급| 계약","시공| 하도급| 계약 프로젝트코드|단위공사코드|업체코드|결재ID","","","","","","","","TCM_SUBCONTJUDGING","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTJUDGING_NEW","TCM_SUBCONTJUDGING_NEW","하도급계약심사","시공 하도급계약심사","시공| 하도급| 계약","프로젝트코드|단위공사코드|업체코드|결재ID","","","","","","","","TCM_SUBCONTJUDGING_NEW","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTREVAL","TCM_SUBCONTREVAL","하도급업체평가등록","시공 하도급 업체 평가등록","시공| 하도급| 업체","시공| 하도급| 업체 단위공사코드|업체코드|변경전원도급금액|변경후원도급금액","","","","","","","","TCM_SUBCONTREVAL","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTREVALOBJ","TCM_SUBCONTREVALOBJ","하도급업체평가대상","시공 하도급 업체 평가대상","시공| 하도급| 업체","시공| 하도급| 업체 프로젝트코드|단위공사코드|하도급공사명|하도급범위|평가점수","","","","","","","","TCM_SUBCONTREVALOBJ","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTREVALOBJ_NEW","TCM_SUBCONTREVALOBJ_NEW","하도급업체평가대상","시공 하도급 업체 평가대상","시공| 하도급| 업체","프로젝트코드|단위공사코드|하도급공사명|하도급범위|평가점수","","","","","","","","TCM_SUBCONTREVALOBJ_NEW","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUBCONTREVAL_NEW","TCM_SUBCONTREVAL_NEW","하도급업체평가등록","시공 하도급 업체 평가대상","시공| 하도급| 업체","프로젝트코드|변경전원도급금액|변경후원도급금액","","","","","","","","TCM_SUBCONTREVAL_NEW","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUPERVISORINFO","TCM_SUPERVISORINFO","감리자정보","감리자정보","감리","감리 프로젝트코드|설계분야|근무기간","","","","","","","","TCM_SUPERVISORINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUPERVISORVALUAT","TCM_SUPERVISORVALUAT","감리자평가정보","감리자평가정보","감리","감리 프로젝트코드|평가부서|평가기준일","","","","","","","","TCM_SUPERVISORVALUAT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUPERVISORVALUATDET","TCM_SUPERVISORVALUATDET","감리자평가내역","감리자평가내역","감리","감리 평가부서|기여도평가|유효성평가|등급평가","","","","","","","","TCM_SUPERVISORVALUATDET","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_SUPOPINWRITTEN","TCM_SUPOPINWRITTEN","감리의견서","감리의견서","감리","감리 프로젝트코드|책임감리자|감리기간|기술검토년도","","","","","","","","TCM_SUPOPINWRITTEN","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_TECHINVESTREQ","TCM_TECHINVESTREQ","기술검토의뢰서","기술검토의뢰서","기술| 검토","프로젝트코드|단위공사코드|발행일자|발행자","","","","","","","","TCM_TECHINVESTREQ","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_WEATHER_INFO","TCM_WEATHER_INFO","날씨연계정보","날씨연계정보","날씨","날씨 발전기코드|발표시간|발효시간|강수확률","","","","","","","","TCM_WEATHER_INFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCM_WEEKSUPRPT","TCM_WEEKSUPRPT","주간감리보고서","주간감리보고서","감리","감리 프로젝트코드|금주업무내용|내주업무내용","","","","","","","","TCM_WEEKSUPRPT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_ACCINFO","TCO_ACCINFO","접속정보","사용자접속정보","사용자| 접속","유저ID|접근일자|접속건수|로그인시간","","","","","","","","TCO_ACCINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_APPERR","TCO_APPERR","결재에러","결재에러정보","결재| 에러","자동순번|업무키|후처리SP명|에러설명","","","","","","","","TCO_APPERR","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_APPROVEINFO","TCO_APPROVEINFO","결재정보","결재자정보","결재자","결재ID|업무분야|결재자직급명|결재순번","","","","","","","","TCO_APPROVEINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_APPROVEINFO_TEMP","TCO_APPROVEINFO_TEMP","결재정보","결재자정보","결재자","결재ID|업무분야|결재자직급명|결재순번","","","","","","","","TCO_APPROVEINFO_TEMP","","N","N","02","재적재","20190425","","",""
"M001","EPMS_TCO_ATTFILE","TCO_ATTFILE","첨부파일","첨부파일","첨부파일","첨부파일 첨부파일ID|업무코드|파일경로|원본파일명","","","","","","","","TCO_ATTFILE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_AUTHGRP","TCO_AUTHGRP","권한그룹","사용자 권한그룹","사용자| 권한","사용자| 권한 권한그룹ID|접근범위ID|정렬순서","","","","","","","","TCO_AUTHGRP","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_AUTHGRPDEPT","TCO_AUTHGRPDEPT","권한그룹별부서정보","사용자 권한그룹별 부서정보","사용자| 권한","사용자| 권한 권한그룹ID|부서ID|등록자ID","","","","","","","","TCO_AUTHGRPDEPT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_AUTHGRPUSER","TCO_AUTHGRPUSER","권한그룹별사용자","사용자 권한그룹별사용자","사용자| 권한","사용자| 권한 권한그룹ID|유저ID|업무종료일자","","","","","","","","TCO_AUTHGRPUSER","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_AUTHPGM","TCO_AUTHPGM","권한별프로그램","사용자 권한별프로그램","사용자| 권한","사용자| 권한 권한그룹ID|메뉴ID|접근범위ID|생성유무","","","","","","","","TCO_AUTHPGM","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_BIZMEETBOARD","TCO_BIZMEETBOARD","사업추진회의자료관리","사업추진회의자료관리","사업| 회의","사업| 회의 프로젝트코드|사진첨부ID|첨부파일ID","","","","","","","","TCO_BIZMEETBOARD","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_BOARD","TCO_BOARD","게시판","게시판","게시판","게시판 프로젝트코드|첨부파일ID|읽은횟수|게시판구분","","","","","","","","TCO_BOARD","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_BUSORG_MENU","TCO_BUSORG_MENU","사업조직도메뉴","시공 업체 사업조직도","시공| 조직도","프로젝트코드|메뉴ID|썸네일 첨부파일ID|확정 첨부파일ID","","","","","","","","TCO_BUSORG_MENU","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_BUSORG_MENU_ALT","TCO_BUSORG_MENU_ALT","사업조직도메뉴","시공 업체 사업조직도","시공| 조직도","프로젝트코드|메뉴ID|첨부파일ID","","","","","","","","TCO_BUSORG_MENU_ALT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_CODE","TCO_CODE","공통코드","공통코드","코드","공통코드|ID명|코드|정렬순서","","","","","","","","TCO_CODE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_CONSDEPTUSER","TCO_CONSDEPTUSER","프로젝트별사용자","프로젝트별사용자","프로젝트| 사용자","프로젝트| 사용자 프로젝트코드|업체ID|조직부서ID|업무분야ID","","","","","","","","TCO_CONSDEPTUSER","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_CONSORG","TCO_CONSORG","프로젝트별건설조직","프로젝트별건설조직","프로젝트| 조직","프로젝트| 조직 프로젝트코드|업체ID|조직부서ID|등록자ID","","","","","","","","TCO_CONSORG","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_CONSORGPJT","TCO_CONSORGPJT","프로젝트별업체부서","프로젝트별업체부서","프로젝트| 부서","프로젝트| 부서 프로젝트코드|업체ID|조직부서ID|업무분야ID","","","","","","","","TCO_CONSORGPJT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_CPTRADEID","TCO_CPTRADEID","단위공사별업체","단위공사별 업체관리","단위공사| 업체","프로젝트코드|단위공사코드|업체ID","","","","","","","","TCO_CPTRADEID","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_DEVMENU","TCO_DEVMENU","개발메뉴","메뉴관리","메뉴","메뉴ID|메뉴코드|이미지URL|아이콘URL","","","","","","","","TCO_DEVMENU","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_DISTRIBINFO","TCO_DISTRIBINFO","배부정보","결재 배부 관리","결재| 배부","배부ID|업체ID|조직부서ID|업무분야ID","","","","","","","","TCO_DISTRIBINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_DISTRIBINFO_TEMP","TCO_DISTRIBINFO_TEMP","배부정보","","","배부ID|업체ID|조직부서ID|업무분야ID","","","","","","","","TCO_DISTRIBINFO_TEMP","","N","N","02","재적재","20190425","","",""
"M001","EPMS_TCO_DRAFTINFO","TCO_DRAFTINFO","기안정보","결재 기안 정보","결재| 기안","결재ID|기안자ID|업체ID|업체명","","","","","","","","TCO_DRAFTINFO","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_DUMMY","TCO_DUMMY","더미테이블","코드더미 관리","코드","숫자|문자값","","","","","","","","TCO_DUMMY","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_GRPCODE","TCO_GRPCODE","공통그룹코드","그룹코드관리","그룹| 코드","그룹ID|그룹코드|공개여부|말단여부","","","","","","","","TCO_GRPCODE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQ","TCO_IDREQ","ID개설요청","ID개설","ID| 개설","사업자번호|프로젝트코드|건설조직구분ID|요청진행상태ID","","","","","","","","TCO_IDREQ","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQCONSDEPTUSER","TCO_IDREQCONSDEPTUSER","ID개설요청_프로젝트별사용자","ID개설_프로젝트 사용자","ID| 개설","사업자번호|프로젝트코드|조직부서ID|업무분야ID","","","","","","","","TCO_IDREQCONSDEPTUSER","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQCONSORG","TCO_IDREQCONSORG","ID개설요청_건설조직","ID개설_건설조직","ID| 개설","사업자번호|프로젝트코드|조직부서ID","","","","","","","","TCO_IDREQCONSORG","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQCONSORGPJT","TCO_IDREQCONSORGPJT","ID요청_프로젝트별건설조직부서","ID개설_건설조직부서","ID| 개설","사업자번호|프로젝트코드|조직부서ID|업무분야ID","","","","","","","","TCO_IDREQCONSORGPJT","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQCPCODE","TCO_IDREQCPCODE","ID개설요청_단위공사","ID개설_단위공사","ID| 개설","사업자번호|프로젝트코드|단위공사코드","","","","","","","","TCO_IDREQCPCODE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_IDREQUSER","TCO_IDREQUSER","ID요청_사용자","ID개설_사용자","ID| 개설","사업자번호|프로젝트코드|유저ID|이메일","","","","","","","","TCO_IDREQUSER","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_LUNARDATE","TCO_LUNARDATE","음력일자","음력일자관리","음력| 일자","순번|음력일자|양력일자|윤달여부","","","","","","","","TCO_LUNARDATE","","Y","Y","02","재적재","20190425","","",""
"M001","EPMS_TCO_MENUUSEHIST","TCO_MENUUSEHIST","메뉴사용이력","메뉴사용이력","메뉴| 이력","유저ID|메뉴ID|접근일자","","","","","","","","TCO_MENUUSEHIST","","Y","Y","02","재적재","20190425","","",""
